,index,Pattern,Size,Median_Score,P_Value,Q_Value_FDR,Genes,Target_Mean,Background_Mean,Fold_Change,Specificity_P_Val
0,31,PATTERN_63,11,3.6395901438926124e-06,0.000999000999000999,0.000999000999000999,"CLTC, EEA1, GDI2, PIK3C3, RAB10, RAB14, RAB5B, RAB5C, RAB7A, RBSN, VAMP2",0.4007,0.2873,1.395,0.00043395059747397937
1,19,PATTERN_41,12,1.5164721247300012e-05,0.001998001998001998,0.001998001998001998,"ALDOA, ALDOC, DERA, GPI, HK3, PFKL, PGAM1, PGM1, PGM2, PKM, PRDX6, TALDO1",0.3375,0.2441,1.383,0.00512439710559
2,10,PATTERN_28,4,1.205236101789603e-05,0.000999000999000999,0.001998001998001998,"UBE2Q1, UBE2Q2, UBE2R2, UBE2Z",0.2669,0.1924,1.387,0.0013917020783869834
3,34,PATTERN_66,6,1.6683797654387578e-05,0.000999000999000999,0.001998001998001998,"RNF111, UBC, UBE2D1, UBE2D2, UBE2N, ZNRF2",0.6873,0.4993,1.376,0.0006888175374158254
4,24,PATTERN_53,16,2.3650113723682617e-05,0.000999000999000999,0.001998001998001998,"ADA2, AMPD3, APRT, BTN3A1, BTN3A2, BTN3A3, CANT1, IL1F10, IL2, IMPDH1, IMPDH2, KPNA7, NME2, PKM, PNP, XDH",0.3461,0.2598,1.332,0.005508420770395186
5,15,PATTERN_34,30,1.5355048518797796e-05,0.001998001998001998,0.001998001998001998,"ATP6AP2, ATP6V0A1, ATP6V0A2, ATP6V0A4, ATP6V0B, ATP6V0C, ATP6V0D1, ATP6V0D2, ATP6V0E1, ATP6V0E2, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V1C1, ATP6V1C2, ATP6V1D, ATP6V1E1, ATP6V1E2, ATP6V1F, ATP6V1G1, ATP6V1G2, ATP6V1G3, ATP6V1H, DOCK1, LAMTOR1, LAMTOR2, LAMTOR3, MLST8, MTOR, TCIRG1",0.2544,0.1936,1.314,0.00431560454919595
6,11,PATTERN_28,4,2.0689071806342446e-05,0.000999000999000999,0.001998001998001998,"MAVS, PCBP2, TRIM14, USP14",0.3774,0.2919,1.293,0.015187180801794785
7,9,PATTERN_28,23,2.590763617373761e-05,0.001998001998001998,0.002664002664002664,"BTBD1, CUL3, FBXL14, FBXL5, GAN, GLMN, KBTBD6, KBTBD7, KBTBD8, KEAP1, KLHL13, KLHL2, KLHL20, KLHL21, KLHL22, KLHL25, KLHL3, KLHL41, KLHL42, KLHL9, RBX1, UBA1, UBE2M",0.174,0.1365,1.274,0.01399702732732015
8,35,PATTERN_66,6,2.5084694532310955e-05,0.002997002997002997,0.002997002997002997,"BTN3A1, BTN3A2, BTN3A3, IL1F10, PSMB9, XDH",0.4027,0.3015,1.335,0.007131478658390652
9,32,PATTERN_64,4,2.2090468936834913e-05,0.001998001998001998,0.003996003996003996,"APOB, CYB5R3, HBB, HP",0.1095,0.0746,1.467,0.00019773403327938646
10,36,PATTERN_67,3,3.4368347219987605e-05,0.002997002997002997,0.008991008991008992,"RNASE2, RNASE6, RNASET2",0.1641,0.1018,1.612,0.0008328333532819043
11,5,PATTERN_2,4,2.2380763987183073e-05,0.002997002997002997,0.011988011988011988,"BTNL2, HLA-DQB1, HLA-DRA, HLA-DRB1",1.664,0.3566,4.666,3.010165587971581e-13
12,41,PATTERN_72,6,1.774249817079664e-05,0.005994005994005994,0.011988011988011988,"CALM3, CALML5, CAMK2A, CAMK2B, CAMK2D, CAMK2G",0.2896,0.2226,1.301,0.0370599561870018
13,40,PATTERN_71,5,3.152752040379486e-06,0.012987012987012988,0.012987012987012988,"CLCF1, CNTF, CNTFR, CRLF1, LIFR",0.0047,0.0028,1.698,0.00031029478952256887
14,26,PATTERN_57,8,1.4128361077317359e-05,0.012987012987012988,0.012987012987012988,"ACTR2, ACTR3, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC5, GMFG",1.1778,0.9324,1.263,0.02851263772758471
15,39,PATTERN_70,3,9.088394485918763e-06,0.00999000999000999,0.014985014985014986,"APOB, GM2A, NPC2",0.2419,0.1528,1.583,0.00048023605381415565
16,33,PATTERN_65,6,1.4579334393790236e-05,0.003996003996003996,0.015984015984015984,"ARMC8, UBA1, UBA7, UBE2H, UBE2W, YPEL5",0.2526,0.177,1.427,0.00040530065001339693
17,14,PATTERN_31,3,1.6200524253540184e-05,0.008991008991008992,0.017982017982017984,"EIF4A3, PPIE, SNRPA1",0.3329,0.2496,1.334,0.011846541046650122
18,42,PATTERN_72,3,2.350479144782141e-05,0.01898101898101898,0.01898101898101898,"ARMC8, UBE2H, YPEL5",0.3287,0.2188,1.502,0.00023806580426227872
19,16,PATTERN_35,4,9.532427779875168e-06,0.008991008991008992,0.01998001998001998,"EEA1, GDI2, RAB5B, RAB5C",0.409,0.248,1.649,2.5903273330917666e-06
20,25,PATTERN_56,3,1.462976802318589e-05,0.00999000999000999,0.01998001998001998,"LY86, RNASE6, RNASET2",0.2721,0.1069,2.546,4.996460978264477e-08
21,8,PATTERN_27,3,2.393835910507995e-05,0.006993006993006993,0.02097902097902098,"ADGRE5, CD55, CD59",0.3663,0.2935,1.248,0.016459178446568582
22,20,PATTERN_42,5,2.0739541907754116e-05,0.008991008991008992,0.02247752247752248,"ALOX15, ALOX5, COTL1, PLA2G2A, PLA2G6",0.1966,0.1288,1.527,0.00420944637832661
23,22,PATTERN_5,3,2.1597774500624855e-05,0.016983016983016984,0.022644022644022644,"UBE2D2, UBE2N, ZNRF1",0.5311,0.3986,1.332,0.011354013852648897
24,23,PATTERN_5,3,3.538407099096785e-05,0.014985014985014986,0.022644022644022644,"MOSPD2, OSBPL1A, VAPA",0.2536,0.1998,1.27,0.020023970972540522
25,21,PATTERN_5,20,1.7711928056058293e-05,0.016983016983016984,0.022644022644022644,"ANAPC7, BIRC5, CCNF, CDC20, CDC23, CDC26, CENPE, CUL1, KIF11, KIF15, KIF18A, KIF20A, KIF22, KIF23, KIF2A, KIF2C, KIF4A, RACGAP1, UBC, UBE2C",0.2445,0.1915,1.277,0.0009427780813554497
26,4,PATTERN_16,4,1.9652029116942992e-05,0.008991008991008992,0.026973026973026976,"APOB, CYB5R3, HBB, HP",0.1095,0.0746,1.467,0.00019773403327938646
27,30,PATTERN_62,3,5.981157742283905e-06,0.01098901098901099,0.027972027972027972,"RNASE2, RNASE6, RNASET2",0.1641,0.1018,1.612,0.0008328333532819043
28,29,PATTERN_62,13,5.538923416318132e-06,0.013986013986013986,0.027972027972027972,"ARSA, ASAH1, CTSA, GAA, GALNS, GLA, GLB1, HEXB, MAN2B1, MANBA, MGAM, NEU1, PSAP",0.1282,0.1024,1.251,0.01371181185946551
29,1,PATTERN_1,10,3.9905920214526105e-05,0.011988011988011988,0.02997002997002997,"ALOX15, ALOX5, LPCAT1, PLA2G2A, PLA2G6, PLD1, PLD2, PLD3, PLD4, PTGS2",0.0578,0.0332,1.742,4.915156179970947e-05
30,18,PATTERN_37,18,1.2436991612832774e-05,0.012987012987012988,0.029970029970029972,"GDI2, LNPEP, RAB10, RAB14, RAB5B, RAB5C, RBSN, SEC22B, SNAP23, SNAP25, SNAP29, STX1A, STX3, STX4, VAMP2, VAMP3, VAMP7, VAMP8",0.2672,0.2055,1.301,0.006058092386522581
31,2,PATTERN_10,4,3.7748178984696345e-05,0.004995004995004995,0.029970029970029972,"APEH, GLB1, IST1, NCSTN",0.1567,0.1163,1.348,0.008938924900283916
32,7,PATTERN_27,12,2.2656787818969435e-05,0.030969030969030968,0.030969030969030968,"AP1B1, AP1G1, AP1M1, AP1S1, AP1S2, AP2A1, AP2A2, AP2B1, AP2M1, AP2S1, CLTA, CLTC",0.3484,0.2703,1.289,0.01679043764949991
33,43,PATTERN_9,6,2.4260260245298037e-05,0.030969030969030968,0.030969030969030968,"LNPEP, RAB10, RAB14, SNAP23, STX4, VAMP2",0.3928,0.2981,1.318,0.004003780833024257
34,6,PATTERN_25,8,4.407098854382674e-05,0.03196803196803197,0.03196803196803197,"DSC1, DSG1, DSP, FLG2, JUP, KRT1, PKP1, PPL",0.0073,0.0016,4.626,8.210665824031454e-06
35,38,PATTERN_7,3,1.672832675747415e-05,0.027972027972027972,0.03496503496503496,"PAK1, PAK2, PAK3",0.393,0.2744,1.432,0.0004965924868948156
36,37,PATTERN_7,8,4.248004718092513e-05,0.03496503496503497,0.03496503496503497,"DSC1, DSG1, DSP, FLG2, JUP, KRT1, PKP1, PPL",0.0073,0.0016,4.626,8.210665824031454e-06
37,13,PATTERN_29,5,1.9174163326864203e-05,0.00999000999000999,0.03596403596403597,"DHX9, HNRNPA2B1, HNRNPF, ILF2, XRCC5",0.9521,0.7158,1.33,0.004763301280796617
38,12,PATTERN_29,6,5.566876310833451e-05,0.017982017982017984,0.03596403596403597,"ALDH3B1, GSTA2, GSTO1, GSTP1, MGST1, PRDX6",0.4325,0.3122,1.385,0.0021292267651083193
39,28,PATTERN_61,5,8.492791410035768e-06,0.01098901098901099,0.03796203796203796,"TUBA4B, TUBB2A, TUBB3, TUBB4A, TUBB4B",0.1051,0.0711,1.478,0.0012743538160668124
40,27,PATTERN_61,6,9.387151701269415e-06,0.016983016983016984,0.03796203796203796,"GDI2, RAB10, RAB14, RAB5B, RAB5C, RAB7A",0.4684,0.3443,1.36,0.0015182804959599503
41,17,PATTERN_36,3,2.020339171885623e-05,0.007992007992007992,0.03996003996003996,"PJA1, UBE2D2, ZNRF2",0.4241,0.3211,1.321,0.005508420770395186
42,3,PATTERN_10,3,1.2999080179699272e-05,0.015984015984015984,0.04795204795204795,"HNRNPA2B1, HNRNPDL, PCBP2",1.2419,0.9076,1.368,0.0007821679852283352
43,0,PATTERN_1,12,4.126225636509834e-05,0.028971028971028972,0.04828504828504829,"CASP3, CDH1, COL17A1, CTNNB1, DSC1, DSG1, DSP, FLG2, JUP, KRT1, PKP1, PPL",0.0522,0.0399,1.306,0.020412476022267853
